Date,BRK.B_holding
1/16/2020 6:51,38023
1/16/2020 7:51,38023
1/16/2020 8:51,38023
1/16/2020 9:50,38023
1/16/2020 10:51,38023
1/16/2020 11:50,38023
1/16/2020 12:51,38023
1/16/2020 14:13,38023
1/16/2020 15:51,38044
1/16/2020 16:51,38057
1/16/2020 17:51,38058
1/16/2020 18:51,38066
1/16/2020 19:51,38056
1/16/2020 20:51,38066
1/16/2020 21:51,38066
1/16/2020 22:51,38070
1/16/2020 23:51,38069
1/17/2020 0:52,38069
1/17/2020 1:52,38069
1/17/2020 2:51,38069
1/17/2020 3:51,38069
1/17/2020 4:51,38069
1/17/2020 5:51,38069
1/17/2020 6:51,38069
1/17/2020 7:50,38069
1/17/2020 8:50,38069
1/17/2020 9:52,38069
1/17/2020 10:50,38069
1/17/2020 11:50,38061
1/17/2020 12:51,38061
1/17/2020 14:11,38061
1/17/2020 14:51,38061
1/17/2020 15:51,38096
1/17/2020 16:51,38137
1/17/2020 17:51,38152
1/17/2020 18:51,38165
1/17/2020 19:51,38179
1/17/2020 20:51,38188
1/17/2020 21:50,38204
1/17/2020 22:50,38216
1/17/2020 23:50,38219
1/18/2020 0:51,38219
1/18/2020 1:51,38219
1/18/2020 2:51,38219
1/18/2020 3:51,38219
1/18/2020 4:50,38219
1/18/2020 5:51,38219
1/18/2020 6:50,38219
1/18/2020 7:50,38219
1/18/2020 8:50,38219
1/18/2020 9:50,38219
1/18/2020 10:50,38216
1/18/2020 11:50,38216
1/18/2020 12:50,38216
1/18/2020 13:50,38216
1/18/2020 14:50,38216
1/18/2020 15:51,38216
1/18/2020 16:50,38216
1/18/2020 17:51,38216
1/18/2020 18:51,38216
1/18/2020 19:51,38216
1/18/2020 20:50,38216
1/18/2020 21:51,38216
1/18/2020 23:51,38216
1/19/2020 0:50,38216
1/19/2020 1:51,38216
1/19/2020 2:51,38216
1/19/2020 3:51,38216
1/19/2020 4:51,38216
1/19/2020 5:50,38216
1/19/2020 6:50,38216
1/19/2020 7:50,38216
1/19/2020 8:51,38216
1/19/2020 9:50,38216
1/19/2020 10:50,38216
1/19/2020 11:50,38216
1/19/2020 12:50,38216
1/19/2020 13:50,38216
1/19/2020 14:51,38216
1/19/2020 15:51,38216
1/19/2020 16:50,38216
1/19/2020 17:50,38216
1/19/2020 18:50,38216
1/19/2020 19:52,38216
1/19/2020 20:50,38216
1/19/2020 21:50,38216
1/19/2020 23:52,38216
1/20/2020 0:52,38216
1/20/2020 1:51,38216
1/20/2020 2:51,38216
1/20/2020 3:51,38216
1/20/2020 4:51,38216
1/20/2020 5:50,38216
1/20/2020 6:52,38216
1/20/2020 7:50,38216
1/20/2020 8:52,38216
1/20/2020 9:56,38216
1/20/2020 10:51,38216
1/20/2020 11:50,38216
1/20/2020 12:50,38216
1/20/2020 13:51,38216
1/20/2020 14:51,38216
1/20/2020 15:51,38216
1/20/2020 16:50,38216
1/20/2020 17:51,38216
1/20/2020 18:50,38216
1/20/2020 19:51,38216
1/20/2020 21:52,38216
1/20/2020 22:52,38216
1/20/2020 23:51,38216
1/21/2020 0:52,38216
1/21/2020 1:51,38216
1/21/2020 2:52,38216
1/21/2020 3:50,38216
1/21/2020 4:51,38216
1/21/2020 5:50,38216
1/21/2020 6:50,38215
1/21/2020 7:50,38215
1/21/2020 8:50,38214
1/21/2020 10:05,38214
1/21/2020 10:51,38214
1/21/2020 11:50,38214
1/21/2020 12:50,38214
1/21/2020 13:50,38214
1/21/2020 15:52,38309
1/21/2020 16:51,38328
1/21/2020 17:52,38355
1/21/2020 18:51,38364
1/21/2020 19:52,38364
1/21/2020 20:51,38386
1/21/2020 21:52,38392
1/21/2020 22:51,38395
1/21/2020 23:51,38401
1/22/2020 0:51,38401
1/22/2020 1:51,38401
1/22/2020 2:51,38401
1/22/2020 3:51,38401
1/22/2020 4:51,38401
1/22/2020 5:51,38401
1/22/2020 6:50,38401
1/22/2020 7:50,38401
1/22/2020 8:50,38401
1/22/2020 10:01,38401
1/22/2020 10:50,38401
1/22/2020 11:50,38394
1/22/2020 12:51,38394
1/22/2020 13:51,38394
1/22/2020 14:52,38392
1/22/2020 15:51,38406
1/22/2020 16:52,38416
1/22/2020 17:52,38419
1/22/2020 18:51,38413
1/22/2020 19:52,38408
1/22/2020 20:52,38413
1/22/2020 21:52,38408
1/22/2020 22:51,38405
1/22/2020 23:52,38410
1/23/2020 0:51,38410
1/23/2020 1:52,38410
1/23/2020 2:51,38410
1/23/2020 3:51,38410
1/23/2020 4:51,38410
1/23/2020 5:50,38410
1/23/2020 6:51,38410
1/23/2020 7:51,38401
1/23/2020 8:50,38401
1/23/2020 10:50,38401
1/23/2020 11:50,38401
1/23/2020 12:50,38401
1/23/2020 14:13,38402
1/23/2020 14:52,38402
1/23/2020 15:51,38435
1/23/2020 16:51,38480
1/23/2020 17:51,38492
1/23/2020 18:51,38490
1/23/2020 19:51,38496
1/23/2020 20:51,38490
1/23/2020 21:51,38486
1/23/2020 22:50,38493
1/23/2020 23:50,38489
1/24/2020 0:50,38489
1/24/2020 1:51,38489
1/24/2020 2:51,38489
1/24/2020 3:50,38489
1/24/2020 4:51,38489
1/24/2020 5:51,38484
1/24/2020 6:50,38484
1/24/2020 7:51,38484
1/24/2020 8:50,38484
1/24/2020 9:59,38484
1/24/2020 10:50,38484
1/24/2020 11:50,38484
1/24/2020 12:50,38484
1/24/2020 14:12,38483
1/24/2020 14:51,38483
1/24/2020 15:51,38491
1/24/2020 16:51,38490
1/24/2020 17:51,38499
1/24/2020 18:51,38492
1/24/2020 19:51,38487
1/24/2020 20:51,38484
1/24/2020 21:50,38498
1/24/2020 22:50,38501
1/24/2020 23:50,38504
1/25/2020 0:50,38504
1/25/2020 1:50,38504
1/25/2020 2:51,38504
1/25/2020 3:51,38504
1/25/2020 4:50,38504
1/25/2020 5:51,38504
1/25/2020 7:50,38504
1/25/2020 8:50,38504
1/25/2020 9:59,38496
1/25/2020 10:50,38496
