Date,GOLD_holding
5/2/2018 4:54,4107
5/2/2018 6:39,4107
5/3/2018 0:35,4097
5/3/2018 6:34,4097
5/3/2018 6:49,4097
5/3/2018 7:07,4097
5/3/2018 7:34,4097
5/3/2018 7:43,4097
5/3/2018 11:20,4097
5/3/2018 12:43,4097
5/3/2018 13:43,4097
5/3/2018 14:43,4094
5/3/2018 15:43,4094
5/3/2018 16:43,4090
5/3/2018 17:43,4091
5/3/2018 18:43,4088
5/3/2018 19:43,4089
5/3/2018 20:43,4090
5/3/2018 21:43,4088
5/3/2018 22:43,4088
5/3/2018 23:43,4088
5/4/2018 0:43,4088
5/4/2018 1:43,4088
5/4/2018 2:43,4088
5/4/2018 3:43,4088
5/4/2018 4:43,4088
5/4/2018 5:43,4088
5/4/2018 6:43,4088
5/4/2018 7:43,4088
5/4/2018 8:43,4088
5/4/2018 9:43,4088
5/4/2018 10:43,4088
5/4/2018 11:43,4088
5/4/2018 12:43,4088
5/4/2018 20:48,4075
5/4/2018 20:54,4075
5/4/2018 21:00,4075
5/4/2018 21:06,4075
5/4/2018 21:12,4075
5/4/2018 21:18,4075
5/4/2018 21:24,4075
5/4/2018 21:30,4075
5/4/2018 21:43,4075
5/4/2018 22:43,4076
5/4/2018 23:43,4076
5/5/2018 0:43,4076
5/5/2018 1:43,4076
5/5/2018 2:43,4076
5/5/2018 3:43,4076
5/5/2018 4:43,4076
5/5/2018 5:43,4076
5/5/2018 6:43,4076
5/5/2018 7:43,4076
5/5/2018 8:43,4076
5/5/2018 9:43,4076
5/5/2018 10:43,4076
5/5/2018 11:43,4076
5/5/2018 12:43,4076
5/5/2018 13:43,4076
5/5/2018 14:43,4076
5/5/2018 15:43,4076
5/5/2018 16:43,4076
5/5/2018 17:43,4076
5/5/2018 18:43,4076
5/5/2018 19:43,4076
5/5/2018 20:43,4076
5/5/2018 21:43,4076
5/5/2018 22:43,4076
5/5/2018 23:43,4076
5/6/2018 0:43,4076
5/6/2018 1:43,4076
5/6/2018 2:43,4076
5/6/2018 3:43,4076
5/6/2018 4:43,4076
5/6/2018 5:43,4076
5/6/2018 6:43,4076
5/6/2018 7:43,4076
5/6/2018 8:43,4076
5/6/2018 9:43,4076
5/6/2018 10:43,4076
5/6/2018 11:43,4076
5/6/2018 12:43,4076
5/6/2018 13:43,4076
5/6/2018 14:43,4076
5/6/2018 15:43,4076
5/6/2018 16:43,4076
5/6/2018 17:43,4076
5/6/2018 18:43,4076
5/6/2018 19:43,4076
5/6/2018 20:43,4076
5/6/2018 21:43,4076
5/6/2018 22:43,4076
5/6/2018 23:43,4076
5/7/2018 0:43,4076
5/7/2018 1:43,4076
5/7/2018 1:57,4076
5/7/2018 2:43,4076
5/7/2018 3:43,4076
5/7/2018 4:43,4076
5/7/2018 5:43,4076
5/7/2018 6:43,4076
5/7/2018 7:43,4076
5/7/2018 8:43,4076
5/7/2018 9:43,4076
5/7/2018 10:43,4076
5/7/2018 11:43,4076
5/7/2018 12:43,4076
5/7/2018 13:43,4076
5/7/2018 14:43,4073
5/7/2018 15:43,4067
5/7/2018 16:43,4064
