Date,GOOGLE_holding
5/2/2018 4:51,27352
5/2/2018 6:36,27352
5/3/2018 0:32,27372
5/3/2018 6:31,27372
5/3/2018 6:46,27372
5/3/2018 7:04,27372
5/3/2018 7:31,27372
5/3/2018 7:40,27372
5/3/2018 11:17,27370
5/3/2018 12:40,27370
5/3/2018 13:40,27370
5/3/2018 14:40,27437
5/3/2018 15:40,27541
5/3/2018 16:40,27662
5/3/2018 17:40,27679
5/3/2018 18:40,27663
5/3/2018 19:40,27654
5/3/2018 20:40,27640
5/3/2018 21:40,27632
5/3/2018 22:40,27633
5/3/2018 23:40,27633
5/4/2018 0:40,27633
5/4/2018 1:40,27633
5/4/2018 2:40,27633
5/4/2018 3:40,27633
5/4/2018 4:40,27633
5/4/2018 5:40,27633
5/4/2018 6:40,27633
5/4/2018 7:40,27633
5/4/2018 8:40,27633
5/4/2018 9:40,27633
5/4/2018 10:40,27633
5/4/2018 11:40,27633
5/4/2018 12:40,27633
5/4/2018 20:45,26944
5/4/2018 20:51,26944
5/4/2018 20:57,26944
5/4/2018 21:03,26923
5/4/2018 21:09,26923
5/4/2018 21:15,26923
5/4/2018 21:21,26923
5/4/2018 21:27,26923
5/4/2018 21:40,26923
5/4/2018 22:40,26908
5/4/2018 23:40,26908
5/5/2018 0:40,26908
5/5/2018 1:40,26908
5/5/2018 2:40,26908
5/5/2018 3:40,26908
5/5/2018 4:40,26908
5/5/2018 5:40,26908
5/5/2018 6:40,26908
5/5/2018 7:40,26908
5/5/2018 8:40,26908
5/5/2018 9:40,26908
5/5/2018 10:40,26908
5/5/2018 11:40,26908
5/5/2018 12:40,26908
5/5/2018 13:40,26908
5/5/2018 14:40,26908
5/5/2018 15:40,26908
5/5/2018 16:40,26907
5/5/2018 17:40,26907
5/5/2018 18:40,26907
5/5/2018 19:40,26907
5/5/2018 20:40,26907
5/5/2018 21:40,26907
5/5/2018 22:40,26907
5/5/2018 23:40,26907
5/6/2018 0:40,26907
5/6/2018 1:40,26907
5/6/2018 2:40,26907
5/6/2018 3:40,26907
5/6/2018 4:40,26907
5/6/2018 5:40,26907
5/6/2018 6:40,26907
5/6/2018 7:40,26907
5/6/2018 8:40,26907
5/6/2018 9:40,26907
5/6/2018 10:40,26907
5/6/2018 11:40,26907
5/6/2018 12:40,26907
5/6/2018 13:40,26907
5/6/2018 14:40,26907
5/6/2018 15:40,26907
5/6/2018 16:40,26907
5/6/2018 17:40,26907
5/6/2018 18:40,26907
5/6/2018 19:40,26907
5/6/2018 20:40,26907
5/6/2018 21:40,26907
5/6/2018 22:40,26907
5/6/2018 23:40,26907
5/7/2018 0:40,26907
5/7/2018 1:40,26907
5/7/2018 1:54,26907
5/7/2018 2:40,26907
5/7/2018 3:40,26907
5/7/2018 4:40,26907
5/7/2018 5:40,26907
5/7/2018 6:40,26907
5/7/2018 7:40,26907
5/7/2018 8:40,26907
5/7/2018 9:40,26907
5/7/2018 10:40,26907
5/7/2018 11:40,26907
5/7/2018 12:40,26907
5/7/2018 13:40,26906
5/7/2018 14:40,26850
5/7/2018 15:40,26813
5/7/2018 16:40,26784
5/7/2018 22:40,26673
5/7/2018 23:40,26673
5/8/2018 0:40,26673
5/8/2018 1:40,26673
5/8/2018 2:40,26673
5/8/2018 3:40,26673
5/8/2018 4:40,26673
5/8/2018 5:40,26673
5/8/2018 6:40,26673
5/8/2018 7:40,26673
5/8/2018 8:40,26673
5/8/2018 9:40,26674
5/8/2018 10:40,26677
5/8/2018 11:40,26677
5/8/2018 12:40,26677
5/8/2018 13:40,26677
5/8/2018 14:40,26634
5/8/2018 15:40,26610
5/8/2018 16:40,26626
5/8/2018 17:40,26623
5/8/2018 18:40,26625
5/8/2018 19:40,26627
5/8/2018 20:40,26639
5/8/2018 21:40,26637
5/8/2018 22:40,26640
5/8/2018 23:40,26640
5/9/2018 0:40,26640
5/9/2018 1:40,26640
5/9/2018 2:40,26640
5/9/2018 3:40,26640
5/9/2018 4:40,26640
5/9/2018 5:40,26640
5/9/2018 6:40,26640
5/9/2018 7:40,26640
5/9/2018 8:40,26640
5/9/2018 9:40,26640
5/9/2018 10:40,26642
5/9/2018 11:40,26642
5/9/2018 12:40,26642
5/9/2018 13:40,26642
5/9/2018 14:40,26629
5/9/2018 15:40,26569
5/9/2018 16:40,26542
5/9/2018 17:40,26491
5/9/2018 18:40,26434
5/9/2018 19:40,26413
5/9/2018 20:40,26314
5/9/2018 21:40,26308
5/9/2018 22:40,26310
5/9/2018 23:40,26310
5/10/2018 0:40,26310
5/10/2018 1:40,26310
5/10/2018 2:40,26310
5/10/2018 3:40,26310
5/10/2018 4:40,26310
5/10/2018 5:40,26310
5/10/2018 6:40,26310
5/10/2018 7:40,26310
5/10/2018 8:40,26311
5/10/2018 9:40,26311
5/10/2018 10:40,26311
5/10/2018 11:40,26311
5/10/2018 12:40,26311
5/10/2018 13:41,26311
5/10/2018 14:40,26319
5/10/2018 15:40,26312
5/10/2018 16:40,26262
5/10/2018 17:40,26289
5/10/2018 18:40,26305
5/10/2018 19:40,26300
5/10/2018 20:40,26281
5/10/2018 21:40,26278
5/10/2018 22:40,26282
5/10/2018 23:40,26282
5/11/2018 0:40,26282
5/11/2018 1:40,26282
5/11/2018 2:40,26282
5/11/2018 3:40,26282
5/11/2018 4:40,26282
5/11/2018 5:40,26282
5/11/2018 6:40,26282
5/11/2018 7:40,26282
5/11/2018 8:40,26282
5/11/2018 9:40,26282
5/11/2018 10:40,26282
5/11/2018 11:40,26282
5/11/2018 12:40,26282
5/11/2018 13:40,26282
5/11/2018 14:40,26251
5/11/2018 15:40,26276
5/11/2018 16:40,26271
5/11/2018 17:40,26255
5/11/2018 18:40,26250
5/11/2018 19:40,26230
5/11/2018 20:40,26211
5/11/2018 21:40,26211
5/11/2018 22:40,26215
5/11/2018 23:40,26215
5/12/2018 0:40,26215
5/12/2018 1:40,26215
5/12/2018 2:40,26215
5/12/2018 3:40,26215
5/12/2018 4:40,26215
5/12/2018 5:40,26215
5/12/2018 6:40,26215
5/12/2018 7:40,26215
5/12/2018 8:40,26215
5/12/2018 9:40,26215
5/12/2018 10:40,26217
5/12/2018 11:40,26217
5/12/2018 12:40,26217
5/12/2018 13:40,26217
5/12/2018 14:40,26217
5/12/2018 15:40,26217
5/12/2018 16:40,26217
5/12/2018 17:40,26217
5/12/2018 18:40,26217
5/12/2018 19:40,26217
5/12/2018 20:40,26217
5/12/2018 21:40,26217
5/12/2018 22:40,26217
5/12/2018 23:40,26217
5/13/2018 0:40,26217
5/13/2018 1:40,26217
5/13/2018 2:40,26217
5/13/2018 3:40,26217
5/13/2018 4:40,26217
5/13/2018 5:40,26217
5/13/2018 6:40,26217
5/13/2018 7:40,26217
5/13/2018 8:40,26217
5/13/2018 9:40,26217
5/13/2018 10:40,26217
5/13/2018 11:40,26217
5/13/2018 12:40,26217
5/13/2018 13:40,26217
5/13/2018 14:40,26217
5/13/2018 15:40,26217
5/13/2018 16:40,26217
5/13/2018 17:40,26217
5/13/2018 18:40,26217
5/13/2018 19:40,26217
5/13/2018 20:40,26217
5/13/2018 21:40,26217
5/13/2018 22:40,26217
5/13/2018 23:40,26217
5/14/2018 0:40,26217
5/14/2018 1:40,26217
5/14/2018 2:40,26217
5/14/2018 3:40,26217
5/14/2018 4:40,26217
5/14/2018 5:40,26217
5/14/2018 6:40,26217
5/14/2018 7:40,26217
5/14/2018 8:40,26217
5/14/2018 9:40,26216
5/14/2018 10:40,26216
5/14/2018 11:40,26216
5/14/2018 12:40,26216
5/14/2018 13:40,26214
5/14/2018 14:40,26232
5/14/2018 15:40,26224
5/14/2018 16:40,26223
5/14/2018 17:40,26199
5/14/2018 18:40,26198
5/14/2018 19:40,26184
5/14/2018 20:40,26185
5/14/2018 21:40,26196
5/14/2018 22:40,26197
5/14/2018 23:40,26197
5/15/2018 0:40,26197
5/15/2018 1:40,26197
5/15/2018 2:40,26197
5/15/2018 3:40,26197
5/15/2018 4:40,26197
5/15/2018 5:40,26197
5/15/2018 6:40,26197
5/15/2018 7:40,26197
5/15/2018 8:40,26197
5/15/2018 9:40,26197
5/15/2018 10:40,26196
5/15/2018 11:40,26196
5/15/2018 12:40,26196
5/15/2018 13:40,26196
5/15/2018 14:40,26054
5/15/2018 15:40,26087
5/15/2018 16:40,26102
5/15/2018 17:40,26130
5/15/2018 18:40,26148
5/15/2018 19:40,26179
5/15/2018 20:40,26242
5/15/2018 21:40,26255
5/15/2018 22:40,26260
5/15/2018 23:40,26260
5/16/2018 0:40,26260
5/16/2018 1:40,26260
5/16/2018 2:40,26260
5/16/2018 3:40,26260
5/16/2018 4:40,26260
5/16/2018 5:40,26260
5/16/2018 6:40,26260
5/16/2018 7:40,26260
5/16/2018 8:40,26260
5/16/2018 9:40,26260
5/16/2018 10:40,26262
5/16/2018 11:40,26262
5/16/2018 12:40,26262
5/16/2018 13:40,26262
5/16/2018 14:40,26309
5/16/2018 15:40,26361
5/16/2018 16:40,26351
5/16/2018 17:40,26344
5/16/2018 18:40,26350
5/16/2018 19:40,26345
5/16/2018 20:40,26352
5/16/2018 21:40,26357
5/16/2018 22:40,26361
5/16/2018 23:40,26361
5/17/2018 0:40,26361
5/17/2018 1:40,26361
5/17/2018 2:40,26361
5/17/2018 3:40,26361
5/17/2018 4:40,26361
5/17/2018 5:40,26361
5/17/2018 6:40,26361
5/17/2018 7:40,26361
5/17/2018 8:40,26361
5/17/2018 9:40,26361
5/17/2018 10:40,26361
5/17/2018 11:40,26361
5/17/2018 12:40,26361
5/17/2018 13:40,26361
5/17/2018 14:40,26399
5/17/2018 15:40,26409
5/18/2018 7:40,26428
5/18/2018 8:40,26428
5/18/2018 9:40,26428
5/18/2018 10:40,26427
5/18/2018 11:40,26427
5/18/2018 12:40,26427
5/18/2018 13:40,26427
5/18/2018 14:40,26470
5/18/2018 15:40,26507
5/18/2018 16:40,26563
5/18/2018 17:40,26583
5/18/2018 18:40,26588
5/18/2018 19:40,26605
5/18/2018 20:40,26614
5/18/2018 21:40,26624
5/18/2018 22:40,26627
5/18/2018 23:40,26627
5/19/2018 0:40,26627
5/19/2018 1:40,26627
5/19/2018 2:40,26627
5/19/2018 3:40,26627
5/19/2018 4:40,26627
5/19/2018 5:40,26627
5/19/2018 6:40,26627
5/19/2018 7:40,26627
5/19/2018 8:40,26627
5/19/2018 9:40,26627
5/19/2018 10:40,26628
5/19/2018 11:40,26628
5/19/2018 12:40,26628
5/19/2018 13:40,26628
5/19/2018 14:40,26628
5/19/2018 15:40,26628
5/19/2018 16:40,26628
5/19/2018 17:40,26628
5/19/2018 18:40,26628
5/19/2018 19:40,26628
5/19/2018 20:40,26628
5/19/2018 21:40,26628
5/19/2018 22:40,26628
5/19/2018 23:40,26628
5/20/2018 0:40,26628
5/20/2018 1:40,26628
5/20/2018 2:40,26628
5/20/2018 3:40,26628
5/20/2018 4:40,26628
5/20/2018 5:40,26628
5/20/2018 6:40,26628
5/20/2018 7:40,26628
5/20/2018 8:40,26628
5/20/2018 9:40,26628
5/20/2018 10:40,26628
5/20/2018 11:40,26628
5/20/2018 12:40,26628
5/20/2018 13:40,26628
5/20/2018 14:40,26628
5/20/2018 15:40,26628
5/20/2018 16:40,26628
5/20/2018 17:40,26628
5/20/2018 18:40,26628
5/20/2018 19:40,26628
5/20/2018 20:40,26628
5/20/2018 21:40,26628
5/20/2018 22:40,26628
5/20/2018 23:40,26628
5/21/2018 0:40,26628
5/21/2018 1:41,26628
5/21/2018 2:40,26628
5/21/2018 3:40,26628
5/21/2018 4:40,26628
5/21/2018 5:40,26628
5/21/2018 6:40,26628
5/21/2018 7:40,26628
5/21/2018 8:40,26628
5/21/2018 9:40,26628
5/21/2018 10:40,26628
5/21/2018 11:40,26628
5/21/2018 12:40,26628
5/21/2018 13:40,26627
5/21/2018 14:40,26589
5/21/2018 15:40,26530
5/21/2018 16:40,26508
5/21/2018 17:40,26513
5/21/2018 18:40,26494
5/21/2018 19:40,26490
5/21/2018 20:40,26493
5/21/2018 21:40,26495
5/21/2018 22:40,26503
5/21/2018 23:40,26503
5/22/2018 0:40,26503
5/22/2018 1:40,26503
5/22/2018 2:40,26503
5/22/2018 3:40,26503
5/22/2018 4:40,26503
5/22/2018 5:40,26503
5/22/2018 6:40,26503
5/22/2018 7:40,26503
5/22/2018 8:40,26503
5/22/2018 9:40,26503
5/22/2018 10:40,26503
5/22/2018 11:40,26503
5/22/2018 12:40,26505
5/22/2018 13:40,26505
5/22/2018 14:40,26481
5/22/2018 15:40,26481
5/22/2018 16:40,26488
5/22/2018 17:40,26517
5/22/2018 18:40,26535
5/22/2018 19:40,26544
5/22/2018 20:40,26570
5/22/2018 21:40,26575
5/22/2018 22:40,26583
5/22/2018 23:40,26583
5/23/2018 0:40,26583
5/23/2018 1:40,26583
5/23/2018 2:40,26583
5/23/2018 3:40,26583
5/23/2018 4:40,26583
5/23/2018 5:40,26583
5/23/2018 6:40,26583
5/23/2018 7:40,26583
5/23/2018 8:40,26583
5/23/2018 9:40,26583
5/23/2018 10:40,26586
5/23/2018 11:40,26586
5/23/2018 12:40,26586
5/23/2018 13:40,26586
5/23/2018 14:40,26626
5/23/2018 15:40,26647
5/23/2018 16:40,26647
5/23/2018 17:40,26641
5/23/2018 18:40,26634
5/23/2018 19:40,26626
5/23/2018 20:40,26583
5/23/2018 21:40,26580
5/23/2018 22:40,26582
5/23/2018 23:40,26582
5/24/2018 0:40,26582
5/24/2018 1:40,26582
5/24/2018 2:40,26582
5/24/2018 3:40,26582
5/24/2018 4:40,26582
5/24/2018 6:40,26582
5/24/2018 7:40,26582
5/24/2018 8:40,26582
5/24/2018 9:40,26582
5/24/2018 10:40,26585
5/24/2018 11:40,26585
5/24/2018 12:40,26585
5/24/2018 13:40,26585
5/24/2018 20:10,26540
5/24/2018 20:40,26540
5/24/2018 21:40,26534
5/24/2018 22:40,26531
5/24/2018 23:40,26531
5/25/2018 0:40,26531
5/25/2018 1:40,26531
5/25/2018 2:40,26531
5/25/2018 3:40,26531
5/25/2018 4:40,26531
5/25/2018 5:40,26531
5/25/2018 6:40,26531
5/25/2018 7:40,26531
5/25/2018 8:40,26531
5/25/2018 9:40,26531
5/25/2018 10:40,26531
5/25/2018 11:40,26531
5/25/2018 12:40,26531
5/25/2018 13:40,26531
5/25/2018 14:40,26510
5/25/2018 15:40,26497
5/25/2018 16:40,26486
5/25/2018 17:40,26490
5/25/2018 18:40,26489
5/25/2018 19:40,26486
5/25/2018 20:40,26489
5/25/2018 21:40,26487
5/25/2018 22:40,26482
5/25/2018 23:40,26482
5/26/2018 0:40,26482
5/26/2018 1:40,26482
5/26/2018 2:40,26482
5/26/2018 3:40,26482
5/26/2018 4:40,26482
5/26/2018 5:40,26482
5/26/2018 6:40,26482
5/26/2018 7:40,26482
5/26/2018 8:40,26482
5/26/2018 9:40,26482
5/26/2018 10:40,26482
5/26/2018 11:40,26482
5/26/2018 12:40,26482
5/26/2018 13:40,26482
5/26/2018 14:40,26482
5/26/2018 15:40,26482
5/26/2018 16:40,26482
5/26/2018 17:40,26482
5/26/2018 18:40,26482
5/26/2018 19:40,26482
5/26/2018 20:40,26482
5/26/2018 21:40,26482
5/26/2018 22:40,26482
5/26/2018 23:40,26482
5/27/2018 0:40,26482
5/27/2018 1:40,26482
5/27/2018 2:40,26482
5/27/2018 3:40,26482
5/27/2018 4:40,26482
5/27/2018 5:40,26482
5/27/2018 6:40,26482
5/27/2018 7:40,26482
5/27/2018 8:40,26482
5/27/2018 9:40,26482
5/27/2018 10:40,26482
5/27/2018 11:40,26482
5/27/2018 12:40,26482
5/27/2018 13:40,26482
5/27/2018 14:40,26482
5/27/2018 15:40,26482
5/27/2018 16:40,26482
5/27/2018 17:40,26482
5/27/2018 18:40,26482
5/27/2018 19:40,26482
5/27/2018 20:40,26482
5/27/2018 21:40,26482
5/27/2018 22:40,26482
5/27/2018 23:40,26482
5/28/2018 0:40,26482
5/28/2018 1:40,26482
5/28/2018 2:40,26482
5/28/2018 3:40,26482
5/28/2018 4:40,26482
5/28/2018 5:40,26482
5/28/2018 6:40,26482
5/28/2018 7:40,26482
5/28/2018 8:40,26482
5/28/2018 9:40,26482
5/28/2018 10:40,26482
5/28/2018 11:40,26482
5/28/2018 12:40,26482
5/28/2018 13:40,26482
5/28/2018 14:40,26482
