,,,,,,,,,,,,,,,,,
Date,Google,Date,FB,Date,Apple,Date,Amazon,Date,Costco,Date,Walmart,Date,American_airline,Date,McDonald,Date,Wells_Fargo
1/4/2010 16:00,1957963,5/18/2012 16:00,580587712,1/4/2010 16:00,17633150,1/4/2010 16:00,7600543,1/4/2010 16:00,3280136,1/4/2010 16:00,20753890,1/4/2010 16:00,17446532,1/4/2010 16:00,5839235,1/4/2010 16:00,39338100
1/5/2010 16:00,3007857,5/21/2012 16:00,168309824,1/5/2010 16:00,21496572,1/5/2010 16:00,8856456,1/5/2010 16:00,2775802,1/5/2010 16:00,15649378,1/5/2010 16:00,24046796,1/5/2010 16:00,7098999,1/5/2010 16:00,55418928
1/6/2010 16:00,3980628,5/22/2012 16:00,102053824,1/6/2010 16:00,19719942,1/6/2010 16:00,7180977,1/6/2010 16:00,3722838,1/6/2010 16:00,12517828,1/6/2010 16:00,15770835,1/6/2010 16:00,10551872,1/6/2010 16:00,33239586
1/7/2010 16:00,6418020,5/23/2012 16:00,73721136,1/7/2010 16:00,17040332,1/7/2010 16:00,11030124,1/7/2010 16:00,4527524,1/7/2010 16:00,10662697,1/7/2010 16:00,17664004,1/7/2010 16:00,7517657,1/7/2010 16:00,61648944
1/8/2010 16:00,4724735,5/24/2012 16:00,50275880,1/8/2010 16:00,15995583,1/8/2010 16:00,9833829,1/8/2010 16:00,2348272,1/8/2010 16:00,11363488,1/8/2010 16:00,12414826,1/8/2010 16:00,6107296,1/8/2010 16:00,35512360
1/11/2010 16:00,7216804,5/25/2012 16:00,37189632,1/11/2010 16:00,16508195,1/11/2010 16:00,8786668,1/11/2010 16:00,1830333,1/11/2010 16:00,13989639,1/11/2010 16:00,9255562,1/11/2010 16:00,6081665,1/11/2010 16:00,24389308
1/12/2010 16:00,4853249,5/29/2012 16:00,78060800,1/12/2010 16:00,21230682,1/12/2010 16:00,9098190,1/12/2010 16:00,2113234,1/12/2010 16:00,15117022,1/12/2010 16:00,9834769,1/12/2010 16:00,7199321,1/12/2010 16:00,39798240
1/13/2010 16:00,6499074,5/30/2012 16:00,57267868,1/13/2010 16:00,21638904,1/13/2010 16:00,10727856,1/13/2010 16:00,2052097,1/13/2010 16:00,13290652,1/13/2010 16:00,13867327,1/13/2010 16:00,8623216,1/13/2010 16:00,36716752
1/14/2010 16:00,4241570,5/31/2012 16:00,111639200,1/14/2010 16:00,15469773,1/14/2010 16:00,9788435,1/14/2010 16:00,2145635,1/14/2010 16:00,13772183,1/14/2010 16:00,9795524,1/14/2010 16:00,7095599,1/14/2010 16:00,31544436
1/15/2010 16:00,5437698,6/1/2012 16:00,41855500,1/15/2010 16:00,21226296,1/15/2010 16:00,15382763,1/15/2010 16:00,3081708,1/15/2010 16:00,19088244,1/15/2010 16:00,11122472,1/15/2010 16:00,9429546,1/15/2010 16:00,47255888
1/19/2010 16:00,4317143,6/4/2012 16:00,35230288,1/19/2010 16:00,26071660,1/19/2010 16:00,8900116,1/19/2010 16:00,2558607,1/19/2010 16:00,14618629,1/19/2010 16:00,10696058,1/19/2010 16:00,8551573,1/19/2010 16:00,40815736
1/20/2010 16:00,3253498,6/5/2012 16:00,42473264,1/20/2010 16:00,21862556,1/20/2010 16:00,9081533,1/20/2010 16:00,4484750,1/20/2010 16:00,13308519,1/20/2010 16:00,26166446,1/20/2010 16:00,6997129,1/20/2010 16:00,75712240
1/21/2010 16:00,6307634,6/6/2012 16:00,61487020,1/21/2010 16:00,21719796,1/21/2010 16:00,9976146,1/21/2010 16:00,3456728,1/21/2010 16:00,16028682,1/21/2010 16:00,23258658,1/21/2010 16:00,11725226,1/21/2010 16:00,90151416
1/22/2010 16:00,6807653,6/7/2012 16:00,26167756,1/22/2010 16:00,31491696,1/22/2010 16:00,11577818,1/22/2010 16:00,4221256,1/22/2010 16:00,19416032,1/22/2010 16:00,15362849,1/22/2010 16:00,15647193,1/22/2010 16:00,69507712
1/25/2010 16:00,4421012,6/8/2012 16:00,38033420,1/25/2010 16:00,38060688,1/25/2010 16:00,12031053,1/25/2010 16:00,2690504,1/25/2010 16:00,12003255,1/25/2010 16:00,10656647,1/25/2010 16:00,6382645,1/25/2010 16:00,48321808
1/26/2010 16:00,4356767,6/11/2012 16:00,28225888,1/26/2010 16:00,66682496,1/26/2010 16:00,9567607,1/26/2010 16:00,3530432,1/26/2010 16:00,15585088,1/26/2010 16:00,9014011,1/26/2010 16:00,9297477,1/26/2010 16:00,66590712
1/27/2010 16:00,3965467,6/12/2012 16:00,15822414,1/27/2010 16:00,61520288,1/27/2010 16:00,14765273,1/27/2010 16:00,3776135,1/27/2010 16:00,13192047,1/27/2010 16:00,15725383,1/27/2010 16:00,8080776,1/27/2010 16:00,63082504
1/28/2010 16:00,3231041,6/13/2012 16:00,17118672,1/28/2010 16:00,41910768,1/28/2010 16:00,27293062,1/28/2010 16:00,3197007,1/28/2010 16:00,16961014,1/28/2010 16:00,11875785,1/28/2010 16:00,8560954,1/28/2010 16:00,62133408
1/29/2010 16:00,4141196,6/14/2012 16:00,16854124,1/29/2010 16:00,44498256,1/29/2010 16:00,29478976,1/29/2010 16:00,5414003,1/29/2010 16:00,24281224,1/29/2010 16:00,11584964,1/29/2010 16:00,7591260,1/29/2010 16:00,88783632
2/1/2010 16:00,2253021,6/15/2012 16:00,43563740,2/1/2010 16:00,26781204,2/1/2010 16:00,37774316,2/1/2010 16:00,4297937,2/1/2010 16:00,11028818,2/1/2010 16:00,10172426,2/1/2010 16:00,8070208,2/1/2010 16:00,45239944
