Date,Google,Apple,Amazon,Costco,Walmart,American_airline,McDonald,Wells_Fargo
1/4/2010 16:00,1957963,17633150,7600543,3280136,20753890,17446532,5839235,39338100
1/5/2010 16:00,3007857,21496572,8856456,2775802,15649378,24046796,7098999,55418928
1/6/2010 16:00,3980628,19719942,7180977,3722838,12517828,15770835,10551872,33239586
1/7/2010 16:00,6418020,17040332,11030124,4527524,10662697,17664004,7517657,61648944
1/8/2010 16:00,4724735,15995583,9833829,2348272,11363488,12414826,6107296,35512360
1/11/2010 16:00,7216804,16508195,8786668,1830333,13989639,9255562,6081665,24389308
1/12/2010 16:00,4853249,21230682,9098190,2113234,15117022,9834769,7199321,39798240
1/13/2010 16:00,6499074,21638904,10727856,2052097,13290652,13867327,8623216,36716752
1/14/2010 16:00,4241570,15469773,9788435,2145635,13772183,9795524,7095599,31544436
1/15/2010 16:00,5437698,21226296,15382763,3081708,19088244,11122472,9429546,47255888
1/19/2010 16:00,4317143,26071660,8900116,2558607,14618629,10696058,8551573,40815736
1/20/2010 16:00,3253498,21862556,9081533,4484750,13308519,26166446,6997129,75712240
1/21/2010 16:00,6307634,21719796,9976146,3456728,16028682,23258658,11725226,90151416
1/22/2010 16:00,6807653,31491696,11577818,4221256,19416032,15362849,15647193,69507712
1/25/2010 16:00,4421012,38060688,12031053,2690504,12003255,10656647,6382645,48321808
1/26/2010 16:00,4356767,66682496,9567607,3530432,15585088,9014011,9297477,66590712
1/27/2010 16:00,3965467,61520288,14765273,3776135,13192047,15725383,8080776,63082504
1/28/2010 16:00,3231041,41910768,27293062,3197007,16961014,11875785,8560954,62133408
1/29/2010 16:00,4141196,44498256,29478976,5414003,24281224,11584964,7591260,88783632
2/1/2010 16:00,2253021,26781204,37774316,4297937,11028818,10172426,8070208,45239944
2/2/2010 16:00,4096305,24940760,23084986,5231475,11388907,9903566,7272515,50313512
2/3/2010 16:00,2999890,21975968,12409012,5269084,17988850,7278057,13695267,44602752
2/4/2010 16:00,3382732,27058966,12783912,5962605,21029996,12537402,10873570,68235248
2/5/2010 16:00,3157048,30368050,11027086,4793748,15546378,15245740,14010935,68478904
2/8/2010 16:00,2695412,17081016,9898391,3319738,10506063,7212096,6976828,43429860
2/9/2010 16:00,2828685,22603004,9227158,3486817,10825120,30914204,10131419,46845236
2/10/2010 16:00,2675794,13227174,6236250,4520414,9408393,21563564,6161389,42107504
2/11/2010 16:00,2411090,19655128,8344469,4030760,11579594,11277683,7478989,35823916
2/12/2010 16:00,2280371,23409558,8075533,4337558,17038868,17757308,6750002,45333540
2/16/2010 16:00,3654824,19426824,8938494,4052524,15771181,13589126,7090121,36097488
2/17/2010 16:00,2030680,15585530,8947449,2663023,15534113,9065907,5424589,50109616
2/18/2010 16:00,2339250,15100873,9807497,2275330,29458040,7360612,4976220,30287816
2/19/2010 16:00,2555348,14847638,7117494,2510091,15090572,6522225,5622582,32175178
2/22/2010 16:00,2144741,13958024,6809386,3004294,12097112,8049919,4274900,41853380
2/23/2010 16:00,2874790,20546888,7069011,3081114,14138110,9119385,7485645,38757764
2/24/2010 16:00,2326901,16448768,7393039,2908141,10624152,5791046,7579688,35785068
2/25/2010 16:00,3309373,23764152,9535889,3533947,13510073,8248259,8499955,34185552
2/26/2010 16:00,2049372,18123580,5721864,3681865,15953097,21029556,8288530,50826048
3/1/2010 16:00,2238334,19646168,13300501,4031690,12129735,15066500,6320241,34312608
3/2/2010 16:00,4357461,20233736,12098298,4129848,14083621,12489087,6271660,45598528
3/3/2010 16:00,3090124,13294242,6443021,10153492,11631120,9597982,6396071,35902108
3/4/2010 16:00,3184077,13072848,7509644,3286076,11211800,8075383,5958183,30892468
3/5/2010 16:00,3913364,32129228,6771126,3514759,11375086,8281548,8154960,40554044
3/8/2010 16:00,2386506,15353177,5607327,3020305,7556638,13752881,11826193,31311852
3/9/2010 16:00,3177588,32866380,6071029,3186925,12585199,32433656,7126830,31295588
3/10/2010 16:00,5659067,21293448,5627431,3248590,12697801,24795720,6900215,42574808
3/11/2010 16:00,4235226,14489234,7244668,3957193,10675420,12039998,4350525,32144218
3/12/2010 16:00,2756215,14868660,6151927,3938659,10481281,10868280,6601633,36677052
3/15/2010 16:00,4656570,17625012,6329310,2584674,24374792,9766849,5715101,27354764
3/16/2010 16:00,3432853,15960948,4136434,2480575,18458500,13481550,5705583,40201368
3/17/2010 16:00,3322497,16105571,4358962,3115250,12495115,12387053,4818776,33178370
