Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2015-12-31,NYSE MKT (A),0,11313234,2455884,13769118,0.000000,70846626.226500,73969542.810000,144816169.036500,0,26560,13519,40079
2015-12-31,NASDAQ BX (B),51598147,27405684,27997702,107001533,1669915871.610101,1319802461.726100,1097769307.731220,4087487641.067421,471772,119327,254566,845665
2015-12-31,NSX (C),0,800,1100,1900,0.000000,10549.000000,4868.100000,15417.100000,0,8,2,10
2015-12-31,NYSE (DN),93494226,41046096,51606111,186146433,2817516813.114241,1785325654.909196,1816962393.053902,6419804861.077339,401705,111789,205385,718879
2015-12-31,NASDAQ (DQ),759302817,456165135,480832621,1696300573,20735948283.891318,22775455614.689867,14951299474.324970,58462703372.906155,2763602,886674,1470880,5121156
2015-12-31,EDGA (J),78667882,38559500,32727382,149954764,1827993924.281599,1754461773.951203,1120024299.136508,4702479997.369310,532869,174893,267257,975019
2015-12-31,EDGX (K),153833606,106666175,143320276,403820057,4550882011.120703,5181549028.315805,4901697469.257959,14634128508.694467,1007676,404348,801006,2213030
2015-12-31,CHX (M),7494845,8554449,2779696,18828990,502383556.185900,1072250128.920000,224061985.854000,1798695670.959900,282,4560,967,5809
2015-12-31,NYSE (N),753730125,0,0,753730125,26611570114.467610,0.000000,0.000000,26611570114.467610,2326788,0,0,2326788
2015-12-31,NYSE Arca (P),163448209,262224445,133550819,559223473,5759475132.681127,15515344689.655522,5356506833.749565,26631326656.086214,1285653,750496,972504,3008653
2015-12-31,NASDAQ (Q),321244359,123658960,405804166,850707485,11996319231.962215,7557096025.484224,16469733631.375277,36023148888.821716,2768481,502830,2119932,5391243
2015-12-31,NASDAQ PSX (X),19155499,15029707,18917734,53102940,570670437.534200,792214920.458200,512261951.488099,1875147309.480499,145377,67281,114126,326784
2015-12-31,BATS BYX (Y),111069432,62186198,57294354,230549984,3223458739.204085,2556045215.596301,1910242695.418478,7689746650.218864,1004787,281412,502772,1788971
