Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2021-01-29,NYSE American (A),14600154,66009023,11169454,91778631,576693324.481000,968026183.358600,555755532.601000,2100475040.440600,197971,196790,146998,541759
2021-01-29,NASDAQ BX (B),43325377,28364080,51768038,123457495,1994519858.739900,2137496343.761800,2605958327.576701,6737974530.078401,561234,133173,547474,1241881
2021-01-29,NYSE National (C),74812246,42281223,47769285,164862754,2004060684.357500,1479565045.449900,1575503390.767000,5059129120.574400,650137,191790,419125,1261052
2021-01-29,FINRA / Nasdaq TRF Chicago (DB),15228523,5087381,24252411,44568315,589128008.895200,176981797.914400,1116420712.137000,1882530518.946600,87014,16950,115906,219870
2021-01-29,FINRA / NYSE TRF (DN),438830332,268980638,876674493,1584485463,12910346942.756803,6389836934.868300,19804728450.983392,39104912328.608495,4243721,649541,3347258,8240520
2021-01-29,FINRA / Nasdaq TRF Carteret (DQ),2041236962,959723215,2795794131,5796754308,81653579937.504005,46648325502.911175,95835566200.188175,224137471640.603355,10509947,2476258,9944077,22930282
2021-01-29,MIAX Pearl (H),16139291,10078166,15585483,41802940,618063627.309500,632458382.980600,946334213.021600,2196856223.311700,184525,48327,160109,392961
2021-01-29,EDGA Equities (J),86224607,51032999,74336538,211594144,4065230274.280000,2904242287.790200,3739587074.797200,10709059636.867400,1064137,321717,860670,2246524
2021-01-29,EDGX Equities (K),503027673,243308858,609816130,1356152661,15934935180.534711,11678985228.621006,18403107974.367196,46017028383.522913,3820616,1002478,3313057,8136151
2021-01-29,LTSE (L),1879,0,8593,10472,2516577.630000,0.000000,1888327.880000,4404905.510000,27,0,67,94
2021-01-29,NYSE Chicago (M),14545923,15879484,8764502,39189909,916334688.042400,1359710461.524200,1761485915.992500,4037531065.559100,16933,3492,14613,35038
2021-01-29,NYSE (N),1553044329,70706060,101301905,1725052294,73073539669.980900,4454476640.106100,5163934425.529801,82691950735.616801,5509887,246831,667802,6424520
2021-01-29,NYSE Arca (P),449565640,478124561,702003909,1629694110,17888078162.459997,30830852090.566506,26024158028.009421,74743088281.035924,4065965,1764469,4231773,10062207
2021-01-29,NASDAQ (Q),754137037,328511445,1893120586,2975769068,33910298028.363088,23096802725.826114,96110008749.054243,153117109503.243445,8109535,1722122,12160349,21992006
2021-01-29,Members Exchange (U),54197792,20823571,62909040,137930403,1040729150.240000,698300413.582700,1143012341.197700,2882041905.020400,514403,71926,471420,1057749
2021-01-29,Investors Exchange (V),182623869,31083897,144718657,358426423,10897486633.784302,2436573083.884201,10717295505.512800,24051355223.181303,1843555,173314,1446466,3463335
2021-01-29,NASDAQ PSX (X),40639075,38421640,43196772,122257487,1206861503.055000,2548935993.583100,2397391463.314301,6153188959.952401,297699,180600,358059,836358
2021-01-29,BYX Equities (Y),96337747,65226825,101018222,262582794,3273241051.896401,3979488828.329500,3398552802.370900,10651282682.596801,1003273,310545,838383,2152201
2021-01-29,BZX Equities (Z),264854328,214662266,308050104,787566698,11534332515.491904,15028080761.762502,17339892220.494400,43902305497.748806,2713994,1122964,2786490,6623448
2021-01-28,NYSE American (A),16026080,76788054,10989761,103803895,628809894.715000,894264231.704900,583153313.510300,2106227439.930200,203735,244875,146966,595576
2021-01-28,NASDAQ BX (B),52984725,27206081,64146142,144336948,2277968745.464200,1671115553.508600,2568641965.740300,6517726264.713100,664564,132354,571028,1367946
2021-01-28,NYSE National (C),70021107,42668757,59398885,172088749,1943217876.962600,1255956907.326000,1446321358.021300,4645496142.309900,639900,188894,436930,1265724
2021-01-28,FINRA / Nasdaq TRF Chicago (DB),12770464,6605354,23480018,42855836,418111675.545900,101545279.500700,731945605.392300,1251602560.438900,65384,14758,86108,166250
2021-01-28,FINRA / NYSE TRF (DN),406909450,343381976,1021426837,1771718263,11508625813.217298,5014367099.118600,15643309593.183495,32166302505.519393,2314253,596953,2651736,5562942
2021-01-28,FINRA / Nasdaq TRF Carteret (DQ),2239880607,1081087344,3494068358,6815036309,82214845297.978714,38744543303.755810,92625148733.666692,213584537335.401216,10805515,2473247,9976157,23254919
2021-01-28,MIAX Pearl (H),17126405,8516526,14194563,39837494,630517848.872800,455926878.279600,943337463.377400,2029782190.529800,191997,41236,147307,380540
2021-01-28,EDGA Equities (J),99817319,46752836,101740902,248311057,4455197685.716600,2308865804.776099,3801451860.690503,10565515351.183202,1269489,301392,939231,2510112
2021-01-28,EDGX Equities (K),508971772,287058473,787341433,1583371678,15073169493.615596,10033963739.039393,16931221662.038484,42038354894.693473,3619953,1001842,3327775,7949570
2021-01-28,LTSE (L),391,100,17043,17534,656592.500000,2231.000000,283268.310000,942091.810000,18,1,35,54
2021-01-28,NYSE Chicago (M),25001931,11880071,6266688,43148690,1629190481.702600,1497784545.030399,884796283.041500,4011771309.774499,17651,3336,14338,35325
2021-01-28,NYSE (N),1345205728,72134082,119372705,1536712515,59616358743.268905,3829117986.161098,4833904863.806701,68279381593.236704,5673064,234254,716225,6623543
2021-01-28,NYSE Arca (P),616300591,519620092,1217303593,2353224276,21377615054.751303,27292139459.244169,28213040064.443893,76882794578.439365,4778784,1771364,5012934,11563082
2021-01-28,NASDAQ (Q),873406855,312628397,2274674877,3460710129,36103953790.129407,17552309845.638600,89324391127.390125,142980654763.158132,8463751,1572818,12451746,22488315
2021-01-28,Members Exchange (U),50653189,19147820,72624817,142425826,971474333.065000,644240330.419000,949638929.148100,2565353592.632100,453582,69415,382551,905548
2021-01-28,Investors Exchange (V),195984685,30174078,161583106,387741869,11564214611.272704,2061951774.586000,11550945777.449394,25177112163.308098,1914625,177927,1486489,3579041
2021-01-28,NASDAQ PSX (X),43236013,34607432,44235816,122079261,1257864657.084100,1834466121.138300,2324648587.795400,5416979366.017800,312727,136583,323620,772930
